d,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state
7313439680,huntsville / decatur,29989,2015,chevrolet,suburban,,8 cylinders,,131993,clean,automatic,1GNSCKKC3FR233904,rwd,,SUV,white,al
7313434811,huntsville / decatur,7499,2011,honda,accord,,,gas,167430,clean,automatic,1HGCP2F31BA104582,,full-size,sedan,red,al
7313427258,huntsville / decatur,36995,2017,chevrolet,silverado 2500hd,,,gas,43553,clean,automatic,1GC1KUEG9HF237025,4wd,,,white,al
7313416933,huntsville / decatur,10995,2011,nissan,frontier s,good,6 cylinders,gas,139100,clean,automatic,,,mid-size,pickup,black,al
7313401950,huntsville / decatur,65989,,,ierra 1500,,6 cylinders,diesel,957,clean,automatic,1GTU9EET3MZ256917,4wd,,pickup,white,al
7313398305,huntsville / decatur,10500,2009,mercedes-benz,c300 sport,excellent,6 cylinders,gas,87000,clean,automatic,,,,sedan,black,al
7313397334,huntsville / decatur,41000,2014,rover,hse,like new,8 cylinders,gas,60000,clean,automatic,,4wd,,,black,al
7313381730,huntsville / decatur,25590,2017,jeep,grand cherokee laredo sport,good,6 cylinders,other,31315,clean,other,1C4RJFAG6HC633079,4wd,,SUV,silver,al
7313381707,huntsville / decatur,17990,2013,subaru,xv crosstrek premium,good,,gas,57371,clean,other,JF2GPAVC1D2886375,,,hatchback,blue,al
7313367428,huntsville / decatur,24699,2019,volkswagen,jetta,,,gas,11478,clean,automatic,3VW6T7BUXKM156084,,compact,sedan,red,al
7313357971,huntsville / decatur,10900,2009,nissan,titan,good,8 cylinders,gas,199912,clean,automatic,1N6BA07D59N309992,rwd,full-size,truck,silver,al
7313355149,huntsville / decatur,8000,2012,kia,soul,excellent,4 cylinders,gas,132423,clean,automatic,,fwd,full-size,hatchback,silver,al
7313349058,huntsville / decatur,30990,2019,ford,ranger supercrew xl pickup,good,,other,1834,clean,other,1FTER4EH3KLA31326,,,pickup,black,al
7313325143,huntsville / decatur,32995,,,r XF,,4 cylinders,gas,22105,clean,automatic,SAJBD4FX6JCY57725,rwd,,sedan,white,al
7313310520,huntsville / decatur,10500,2011,mercedes-benz,benz e350,,6 cylinders,gas,132000,clean,automatic,,rwd,,,black,al
7313297746,huntsville / decatur,140000,2015,jeep,renegade,like new,6 cylinders,gas,49658,rebuilt,other,,fwd,mid-size,SUV,yellow,al
7313292421,huntsville / decatur,8600,2010,ford,escape,good,4 cylinders,gas,40500,clean,automatic,,fwd,,SUV,white,al
7313287163,huntsville / decatur,4995,2007,toyota,camry,excellent,4 cylinders,gas,166000,clean,automatic,,fwd,mid-size,sedan,green,al
7313281010,huntsville / decatur,6499,2012,chevrolet,cruze ls,excellent,4 cylinders,gas,138000,clean,automatic,,fwd,mid-size,sedan,blue,al
7313272894,huntsville / decatur,27900,2014,chevrolet,silverado 3500hd,good,8 cylinders,diesel,170525,clean,automatic,1GB4KZC82EF172959,4wd,full-size,truck,white,al
7313267036,huntsville / decatur,31590,2019,cadillac,xt4 sport suv 4d,good,,other,12102,clean,other,1GYFZER40KF121673,fwd,,hatchback,black,al
7313224983,huntsville / decatur,21990,2015,mercedes-benz,glk,,4 cylinders,diesel,90508,clean,automatic,WDCGG0EB5FG411408,,,SUV,white,al
7313123392,huntsville / decatur,4800,2004,chevrolet,avalanche,good,8 cylinders,gas,226386,clean,automatic,3GNEK12T74G287956,4wd,full-size,pickup,black,al
